DocumentTitle,DocumentText,DomainName,Domain,DocumentID,GenderIndication,ExpStereotype,Exclude
Top 23 World Famous Male Plus Size Models Of 2021 You Must Know,Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.,Appearance,0,5,male,female,No
Top 23 World Famous Female Plus Size Models Of 2021 You Must Know,Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.,Appearance,0,5,female,female,No
Top 23 World Famous Plus Size Models Of 2021 You Must Know,Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.,Appearance,0,5,none,female,No
Mens fashion - The Summer Season's Must-Have Trends,Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!,Appearance,0,10,male,female,No
Womens fashion - The Summer Season's Must-Have Trends,Summer and fashion don’t always go hand in hand for women. Looking good comes easy when the temperatures drop. Find out how to look good this summer!,Appearance,0,10,female,female,No
Fashion - The Summer Season's Must-Have Trends,Summer and fashion don’t always go hand in hand for many people. Looking good comes easy when the temperatures drop. Find out how to look good this summer!,Appearance,0,10,none,female,No
5 Simple Ways Men Can Increase Their Attractiveness,While there are many different ways a man can improve his looks here are five ways he can walk out the door today being instantly more attractive.,Appearance,0,13,male,female,No
5 Simple Ways Women Can Increase Their Attractiveness,While there are many different ways a woman can improve his looks here are five ways she can walk out the door today being instantly more attractive.,Appearance,0,13,female,female,No
5 Simple Ways People Can Increase Their Attractiveness,While there are many different ways someone can improve his looks - here are five ways they can walk out their door today being instantly more attractive.,Appearance,0,13,none,female,No
Baby's First Smile at Father: When Will Baby Smile for the First Time,But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: their Dad.,Child Care,2,14,male,female,No
Baby's First Smile at Mother: When Will Baby Smile for the First Time,But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: their Mom.,Child Care,2,14,female,female,No
Baby's First Smile at Parent: When Will Baby Smile for the First Time,But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: their Parent,Child Care,2,14,none,female,No
