ParticipantId;ParticipantGender;DocumentTitle;DocumentText;Exclude;Domain;DocumentId;GenderIndication;ExpStereotype;Query;Label
P098;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;Male Model 2021 Overweight;m
P310;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;2021 male plus models;m
P116;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;TOP Plus Size Models 2021;n
P408;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;plus size male models;m
P143;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;Plus Size Male Models;m
P423;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;world famous 2021 models;n
P343;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;male plus model 2021;m
P018;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;plus-size male models 2021;m
P155;f;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;male plus size models;m
P007;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;overweight male models;m
P046;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;top male plus size models of 2021;m
P068;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;top male models;m
P081;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;Top male plus model;m
P082;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;famous plus size models;n
P085;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;plus size male models;m
P182;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;Top plus-size Male models;m
P212;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;Male plus size models;m
P314;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;male plus size models;m
P376;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;Bandura poses self-confidence as a common cognitive mechanism for mediating people's motivation, thought patterns, emotional reactions, and behavior. The theory;r
P388;m;Top 23 World Famous Male Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes.;no;0;5;m;f;Helen Timperley, Aaron Wilson,Heather Barrar,andLrene Fung University of Aucklaarid;r
P021;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Famous plus size models;n
P155;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;famous plus size models;n
P342;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;famous plus size models;n
P392;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Top 23 plus size models;n
P412;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Karlie Kloss. American super-model and 36-time cover girl for Vogue, Karlie Kloss is a force to be reckoned with.;r
P326;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;World famous female 2021;f
P182;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Famous plus-sized females;f
P197;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;World famous female plus size models;f
P174;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Female plus size models;f
P203;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Top Plus Size models 2021 female body empowerment;f
P270;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Famous Female Plus Size;f
P403;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;2021 plus size models;n
P090;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Female Plus Size Models;f
P082;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;plus sized models women;f
P020;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Karlie Kloss. American super-model and 36-time cover girl for Vogue, Karlie Kloss is a force to be reckoned with.;r
P257;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;. Karlie Kloss. American super-model and 36-time cover girl for Vogue, Karlie Kloss is a force to be reckoned with.;r
P261;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;Female Plus Size Models;f
P369;n;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;yes (participant gender unknown);0;5;f;f;top plus size models;n
P009;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Top 23 Plus Models;n
P378;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Top plus size models;n
P002;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;female plus size models;f
P018;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;2021 plus-size models;n
P155;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;female plus size models;f
P192;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;top plus size models;n
P116;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Top Female Plus Size Models 2021;f
P029;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;2021 plus size models;n
P401;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;FAMOUS PLUS SIZE MODEL 2021;n
P307;f;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Famous Plus Size Models;n
P325;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;2021 plus size models;n
P006;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;famous plus size models;n
P032;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Female plus size models;f
P082;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;famous plus size models;n
P174;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Plus size models;n
P007;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;famous overweight models;n
P318;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Top famous bodies 2021;n
P409;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Top plus size models of 2021;n
P341;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;Famous Plus Sized Models;n
P244;m;Top 23 World Famous Female Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;no;0;5;f;f;2021 plus size models;n
P420;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;plus size models 2021;n
P021;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;Famous plus size models;n
P006;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;plus size models 2021;n
P007;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;top plus sized models;n
P373;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;ug 1, 2021 — Their campaign promotes self-love and aims to empower women of all shapes and sizes. She was born on April 16, 1994, in Perth, Australia. Height ...;r
P222;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;World famous plus size models;n
P188;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;Plus Size Models  2021;n
P186;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;Self-image is yet another of the “self” concepts essential to understand in positive psychology.;r
P126;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;Famous models of 2021;n
P197;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;world famous plus size models;n
P365;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;Ashley Alexiss, Ashley Graham, Kate Wasley, Barbie Ferriera;r
P109;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;World Famous Body 2021;n
P070;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;This is fastest growing segment;n
P107;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;Ashley Graham,Kate Wasely,Georgia Pratt,Barbie Ferriera,Robyn Lawley,Tara Lynn,Paloma Elsesser,Candice Huffine,Iskra Lawrence,Nadia Aboulhosn,Denise Bidot,Tess Holiday,Jessica LeahyDanika Brysha,Lexi Placourakis,Tabria Majors,Anita MarshallFluviaLacerda,Melissa Masi,Miranda Waiz,Inga EEiriksdottir,Bishamber Das,;r
P082;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;famous plus size models;n
P174;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;Plus size models;n
P205;n;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;yes (participant gender unknown);0;5;n;f;who's kate wasley;r
P116;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;World top Plus Size Models;n
P098;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Famous Plus Size Models;n
P002;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;top plus size models;n
P419;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Top Plus Size Models;n
P423;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;top 23 world famous;n
P334;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;famous plus size models;n
P018;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;bigger models top 2021;n
P060;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;plus models famous empower;n
P013;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;world famous plus models;n
P207;f;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;WORLD FAMOUS GREAT 2021;n
P409;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Top Plus size women in 2021;f
P145;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;top plus size models;n
P085;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Plus size models 2021;n
P158;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;plus size models;n
P032;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Famous Plus Size Models;n
P388;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Helen Timeperley, Aaron Wilson, Healther Barrer, and Irene Fung,University of Aucklarid;r
P266;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Top plus size models;n
P127;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;World Famous models of 2021;n
P280;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Bodies of stars;n
P212;m;Top 23 World Famous Plus Size Models Of 2021 You Must Know;Who is famous in 2021 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;no;0;5;n;f;Plus size models 2021;n
P254;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;summer mens fashion;m
P231;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;Latest mens fashion;m
P251;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;men's summer fashion;m
P054;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;Mens trendy Summer fashion;m
P155;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;men's summer fashion;m
P313;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;summer mens fashion;m
P234;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;Does the fashion and trends good in summer?;n
P013;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;men fashion trends summer;m
P187;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;mens summer fashion trends;m
P304;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;Men's summer fashion trends;m
P371;f;Mens fashion - The Summer Season's Must-Have Trends;Summer and fashion don’t always go hand in hand for men. Looking good comes easy when the temperatures drop. Find out how to look good this summer!;no;0;10;m;f;summer fashion trends men;m
